timestamp,delta_pnl,vega_pnl,theta_pnl,total_pnl_change,residual
2025-12-15 00:46:45+00:00,-76.70644471658424,20.002986758007054,0.9901176231215348,-56.08624091745878,-0.37290058200312615
2025-12-15 01:10:05+00:00,112.65343050239737,97.83055892226281,0.9850509312001482,210.99610990221845,-0.47293045364187947
2025-12-15 01:33:25+00:00,163.171621059666,34.493995327954615,0.9705698959084044,197.21031894961925,-1.425867333909764
2025-12-15 01:56:15+00:00,202.39830166844862,-13.049755510544971,0.9471644192306472,187.79916903590492,-2.4965415412293908
2025-12-15 02:18:25+00:00,320.33675696866834,44.480926650370954,0.9249405651237268,359.4918215073849,-6.250802676778164
2025-12-15 02:41:35+00:00,-207.96910369322862,9.85343237026822,0.9625614988817488,-200.11491995593678,-2.9618101318581296
2025-12-15 03:06:55+00:00,-100.75333786285786,11.814263279887824,1.0486467005149054,-88.56752626464731,-0.6770983821921845
2025-12-15 03:32:05+00:00,4.776039610205349,26.023427944508786,1.0382824422146375,31.833753311926557,-0.003996685002213951
2025-12-15 03:58:10+00:00,-10.74386415597388,-11.485422170451038,1.0713066654940806,-21.16125876224396,-0.003279101313122368
2025-12-15 04:25:05+00:00,25.099416804379832,23.204254018522356,1.1078869957118327,49.37626792680385,-0.035289891810172946
2025-12-15 04:50:45+00:00,155.53305258539294,-5.8355228416653935,1.0525838789811162,149.19595148765075,-1.5541621350579362
2025-12-15 05:15:35+00:00,-4.672358655242292,16.786220029471483,1.0216880886753548,13.130312389424944,-0.005237073479602117
2025-12-15 05:44:55+00:00,-61.37475679109686,-17.868454464957523,1.2033057195851415,-78.27375011513504,-0.23384457866580988
2025-12-15 06:15:05+00:00,-19.442466356626536,-20.53790587015583,1.2409013977812076,-38.754374513941,-0.014903684939845618
2025-12-15 06:47:15+00:00,63.77553499282215,61.95585734417325,1.32809432241212,126.832499758435,-0.22698690097251983
2025-12-15 07:12:15+00:00,-45.1270840363858,-1.2178380999097498,1.0216314629752368,-45.45812517808372,-0.13483450476340408
2025-12-15 07:39:15+00:00,25.94147323878563,-20.295116595472336,1.1032193628557658,6.703750985303486,-0.04582502086557305
2025-12-15 08:05:05+00:00,70.49230254979668,24.612896698069065,1.0600333295098185,95.85374903199408,-0.3114835453814777
2025-12-15 08:29:45+00:00,60.54252526891078,-6.937233622312729,1.0085879006937821,54.365602256213606,-0.2482772910782245
2025-12-15 08:57:00+00:00,-19.630761357795773,1.2229697931450154,1.1164875873173603,-17.318112806147838,-0.026808828814438357
2025-12-15 09:25:15+00:00,50.94607875924397,28.7150118996221,1.1572334598181417,80.64995553927292,-0.16836857941129324
2025-12-15 09:53:05+00:00,14.951907483024293,-8.172445922324316,1.1349011510870004,7.899979134788737,-0.014383576998239889
2025-12-15 10:20:45+00:00,-105.58956140060995,-20.388862506888223,1.1301770482900892,-125.59742412956257,-0.7491772703544797
2025-12-15 10:45:05+00:00,52.97470961029398,7.89676532835164,0.99700045568402,61.683107379314606,-0.18536801501502964
2025-12-15 11:14:25+00:00,-15.029117075885745,-16.663762129811193,1.2009533532937244,-30.501241559148184,-0.0093157067449674
2025-12-15 11:50:05+00:00,-70.07642062734249,-5.453682860633727,1.4648479492730635,-74.39374072805367,-0.3284851893505163
2025-12-15 12:17:15+00:00,-32.1543904351871,-10.971616278786321,1.116364934975024,-42.07249912322004,-0.06285734422164069
2025-12-15 12:41:15+00:00,57.53219414556488,-10.803660842829778,0.988060791321337,47.494061957309896,-0.22253213674654404
2025-12-15 13:08:45+00:00,-100.7808385151622,9.722171373780702,1.1353225356169225,-90.61718760548683,-0.6938429997222499
2025-12-15 13:33:20+00:00,-54.91527038522079,-10.286632574657736,1.0121252984639757,-64.37813118114718,-0.1883535197326296
2025-12-15 13:57:20+00:00,36.86848569944715,12.645912438197497,0.989424330711178,50.42094373211148,-0.08287873624434638
2025-12-15 14:20:25+00:00,94.70953472438013,-19.597349005598844,0.9500815053003524,75.46093718399788,-0.6013300400837522
2025-12-15 14:43:05+00:00,-175.35644797459898,3.742547029539207,0.937519282220027,-172.7325354164641,-2.0561537536243293
