timestamp,total_pnl,realized_pnl,unrealized_pnl,cash,nav,F,iv_atm
2025-12-15 00:23:25+00:00,61.42999092314403,0.0,61.42999092314403,-83682.37,-83620.94000907685,88900.0,0.44818566916466934
2025-12-15 00:46:45+00:00,5.343750005685251,0.0,5.343750005685251,-83682.37,-83677.0262499943,88746.25,0.4466018367558888
2025-12-15 01:10:05+00:00,216.3398599079037,0.0,216.3398599079037,-83682.37,-83466.03014009209,88970.0,0.43884058952443555
2025-12-15 01:33:25+00:00,413.55017885752295,0.0,413.55017885752295,-83682.37,-83268.81982114248,89297.5,0.4361105392031755
2025-12-15 01:56:15+00:00,601.3493478934279,0.0,601.3493478934279,-83682.37,-83081.02065210657,89711.25,0.43714013167959
2025-12-15 02:18:25+00:00,960.8411694008128,0.0,960.8411694008128,-83682.37,-82721.52883059919,90382.5,0.43364186920820547
2025-12-15 02:41:35+00:00,760.726249444876,0.0,760.726249444876,-83682.37,-82921.64375055511,89928.75,0.4328695982610681
2025-12-15 03:06:55+00:00,672.1587231802287,0.0,672.1587231802287,-83682.37,-83010.21127681977,89715.0,0.43194150013674987
2025-12-15 03:32:05+00:00,703.9924764921552,0.0,703.9924764921552,-83682.37,-82978.37752350784,89725.0,0.4298939621074294
2025-12-15 03:58:10+00:00,682.8312177299113,0.0,682.8312177299113,-83682.37,-82999.53878227009,89702.5,0.4307977244751471
2025-12-15 04:25:05+00:00,732.2074856567151,0.0,732.2074856567151,-83682.37,-82950.16251434328,89755.0,0.4289711649056727
2025-12-15 04:50:45+00:00,881.4034371443659,0.0,881.4034371443659,-83682.37,-82800.96656285562,90081.25,0.4294304300820079
2025-12-15 05:15:35+00:00,894.5337495337908,0.0,894.5337495337908,-83682.37,-82787.8362504662,90071.25,0.4281116479013049
2025-12-15 05:44:55+00:00,816.2599994186558,0.0,816.2599994186558,-83682.37,-82866.11000058134,89940.0,0.42951576235094563
2025-12-15 06:15:05+00:00,777.5056249047148,0.0,777.5056249047148,-83682.37,-82904.86437509528,89898.75,0.4311312001514387
2025-12-15 06:47:15+00:00,904.3381246631498,0.0,904.3381246631498,-83682.37,-82778.03187533685,90033.75,0.4262555637130352
2025-12-15 07:12:15+00:00,858.879999485066,0.0,858.879999485066,-83682.37,-82823.49000051492,89937.5,0.4263513444849062
2025-12-15 07:39:15+00:00,865.5837504703695,0.0,865.5837504703695,-83682.37,-82816.78624952963,89992.5,0.42794868608525904
2025-12-15 08:05:05+00:00,961.4374995023636,0.0,961.4374995023636,-83682.37,-82720.93250049763,90142.5,0.4260116888068194
2025-12-15 08:29:45+00:00,1015.8031017585772,0.0,1015.8031017585772,-83682.37,-82666.56689824142,90272.5,0.42655730538401804
2025-12-15 08:57:00+00:00,998.4849889524294,0.0,998.4849889524294,-83682.37,-82683.88501104756,90230.0,0.4264611551161167
2025-12-15 09:25:15+00:00,1079.1349444917023,0.0,1079.1349444917023,-83682.37,-82603.2350555083,90340.0,0.42420271018982525
2025-12-15 09:53:05+00:00,1087.034923626491,0.0,1087.034923626491,-83682.37,-82595.3350763735,90372.5,0.4248453115646659
2025-12-15 10:20:45+00:00,961.4374994969285,0.0,961.4374994969285,-83682.37,-82720.93250050307,90142.5,0.426448652617452
2025-12-15 10:45:05+00:00,1023.1206068762431,0.0,1023.1206068762431,-83682.37,-82659.24939312375,90256.25,0.4258269313841651
2025-12-15 11:14:25+00:00,992.6193653170949,0.0,992.6193653170949,-83682.37,-82689.7506346829,90223.75,0.42713845115244686
2025-12-15 11:50:05+00:00,918.2256245890412,0.0,918.2256245890412,-83682.37,-82764.14437541095,90072.5,0.4275678439421726
2025-12-15 12:17:15+00:00,876.1531254658212,0.0,876.1531254658212,-83682.37,-82806.21687453418,90003.75,0.428432546279786
2025-12-15 12:41:15+00:00,923.6471874231311,0.0,923.6471874231311,-83682.37,-82758.72281257686,90126.25,0.42928450894868886
2025-12-15 13:08:45+00:00,833.0299998176442,0.0,833.0299998176442,-83682.37,-82849.34000018235,89910.0,0.4285181724469468
2025-12-15 13:33:20+00:00,768.651868636497,0.0,768.651868636497,-83682.37,-82913.7181313635,89793.75,0.4293301193991932
2025-12-15 13:57:20+00:00,819.0728123686085,0.0,819.0728123686085,-83682.37,-82863.29718763138,89871.25,0.42833101507005594
2025-12-15 14:20:25+00:00,894.5337495526064,0.0,894.5337495526064,-83682.37,-82787.83625044739,90071.25,0.4298788097278683
2025-12-15 14:43:05+00:00,721.8012141361423,0.0,721.8012141361423,-83682.37,-82960.56878586386,89696.25,0.4295835040624343
2025-12-15 15:02:35+00:00,-60.23874705052458,0.0,-60.23874705052458,-83682.37,-83742.60874705052,88162.5,0.43072899229257006
2025-12-15 15:22:55+00:00,-537.4542261128927,0.0,-537.4542261128927,-83682.37,-84219.82422611289,87291.25,0.4315937782510535
2025-12-15 15:42:25+00:00,-573.1729596933264,0.0,-573.1729596933264,-83682.37,-84255.54295969332,87253.75,0.43289417587070556
2025-12-15 16:02:55+00:00,-499.76144293528796,0.0,-499.76144293528796,-83682.37,-84182.13144293528,87353.75,0.4314454759822397
2025-12-15 16:23:55+00:00,-475.1395507338066,0.0,-475.1395507338066,-83682.37,-84157.5095507338,87333.75,0.42860445506844835
2025-12-15 16:45:15+00:00,-882.6762500001905,0.0,-882.6762500001905,-83682.37,-84565.04625000019,86701.25,0.43318873673810393
2025-12-15 17:07:35+00:00,-900.4050000002362,0.0,-900.4050000002362,-83682.37,-84582.77500000023,86660.0,0.43279217095709027
2025-12-15 17:29:15+00:00,-994.464062500495,0.0,-994.464062500495,-83682.37,-84676.8340625005,86516.25,0.4338747635834328
2025-12-15 17:50:35+00:00,-1229.651250003354,0.0,-1229.651250003354,-83682.37,-84912.02125000335,86112.5,0.434107893479602
2025-12-15 18:12:15+00:00,-1200.9262500030281,0.0,-1200.9262500030281,-83682.37,-84883.29625000303,86142.5,0.43323403994210374
2025-12-15 18:34:05+00:00,-1431.4787500162429,0.0,-1431.4787500162429,-83682.37,-85113.84875001624,85745.0,0.4330034783521673
2025-12-15 18:56:25+00:00,-993.150000000559,0.0,-993.150000000559,-83682.37,-84675.52000000056,86495.0,0.43303884620478666
2025-12-15 19:18:45+00:00,-1051.4012500013205,0.0,-1051.4012500013205,-83682.37,-84733.77125000131,86343.75,0.4307059972256062
2025-12-15 19:41:15+00:00,-969.2500000005139,0.0,-969.2500000005139,-83682.37,-84651.6200000005,86520.0,0.432386654292613
2025-12-15 20:04:25+00:00,-1068.2693750010267,0.0,-1068.2693750010267,-83682.37,-84750.63937500102,86371.25,0.433600059021347
2025-12-15 20:25:35+00:00,-1192.548125002916,0.0,-1192.548125002916,-83682.37,-84874.9181250029,86151.25,0.4333985926519068
2025-12-15 20:47:25+00:00,-1197.3356250029547,0.0,-1197.3356250029547,-83682.37,-84879.70562500296,86146.25,0.43362872010133724
2025-12-15 21:10:05+00:00,-1319.6631250077016,0.0,-1319.6631250077016,-83682.37,-85002.0331250077,85928.75,0.43326491661695027
2025-12-15 21:33:35+00:00,-1038.2425000012418,0.0,-1038.2425000012418,-83682.37,-84720.61250000124,86357.5,0.4307121265221306
2025-12-15 21:56:55+00:00,-879.7740625002962,0.0,-879.7740625002962,-83682.37,-84562.14406250029,86636.25,0.4309060501522542
2025-12-15 22:20:45+00:00,-1060.9712500013493,0.0,-1060.9712500013493,-83682.37,-84743.34125000135,86333.75,0.43162321602996684
2025-12-15 22:46:20+00:00,-1067.073750001019,0.0,-1067.073750001019,-83682.37,-84749.44375000101,86372.5,0.4340969980709185
2025-12-15 23:09:35+00:00,-861.1887549323701,0.0,-861.1887549323701,-83682.37,-84543.55875493237,86723.75,0.43373352585164565
2025-12-15 23:33:05+00:00,-871.5737500002479,0.0,-871.5737500002479,-83682.37,-84553.94375000024,86667.5,0.4320209915715094
2025-12-15 23:56:15+00:00,-805.0826086677453,0.0,-805.0826086677453,-83682.37,-84487.45260866774,86782.5,0.431985650935706
2025-12-16 00:19:05+00:00,-920.5431250002994,0.0,-920.5431250002994,-83682.37,-84602.9131250003,86616.25,0.43382594984369394
2025-12-16 00:42:05+00:00,-1032.585000000644,0.0,-1032.585000000644,-83682.37,-84714.95500000064,86453.75,0.4355067154895312
2025-12-16 01:05:25+00:00,-1133.9800000015066,0.0,-1133.9800000015066,-83682.37,-84816.3500000015,86280.0,0.43569362041639553
2025-12-16 01:27:15+00:00,-1156.6712500018848,0.0,-1156.6712500018848,-83682.37,-84839.04125000189,86233.75,0.4354208452235172
2025-12-16 01:49:05+00:00,-1220.1250000041482,0.0,-1220.1250000041482,-83682.37,-84902.49500000414,86077.5,0.43316120718582074
2025-12-16 02:11:45+00:00,-1051.3534375014833,0.0,-1051.3534375014833,-83682.37,-84733.72343750148,86321.25,0.4309699979882973
2025-12-16 02:34:55+00:00,-951.0981250006416,0.0,-951.0981250006416,-83682.37,-84633.46812500064,86493.75,0.43097758536265673
2025-12-16 02:58:05+00:00,-1143.4750000027643,0.0,-1143.4750000027643,-83682.37,-84825.84500000277,86180.0,0.4319719435894962
2025-12-16 03:21:15+00:00,-1190.265625004923,0.0,-1190.265625004923,-83682.37,-84872.63562500491,86063.75,0.4302528649516052
2025-12-16 03:43:45+00:00,-1166.303125004547,0.0,-1166.303125004547,-83682.37,-84848.67312500454,86088.75,0.42953901920942783
2025-12-16 04:08:40+00:00,-1145.8800000031924,0.0,-1145.8800000031924,-83682.37,-84828.25000000319,86155.0,0.4311758712935792
2025-12-16 04:33:15+00:00,-1237.1400000075055,0.0,-1237.1400000075055,-83682.37,-84919.5100000075,85970.0,0.42978572715990976
2025-12-16 04:55:05+00:00,-1167.5012500045423,0.0,-1167.5012500045423,-83682.37,-84849.87125000454,86087.5,0.4298141525795897
2025-12-16 05:18:15+00:00,-1056.0803125020038,0.0,-1056.0803125020038,-83682.37,-84738.450312502,86271.25,0.4295403572103399
2025-12-16 05:41:05+00:00,-1023.7887500015286,0.0,-1023.7887500015286,-83682.37,-84706.15875000153,86327.5,0.42964539987230543
2025-12-16 06:06:25+00:00,-885.2250000005706,0.0,-885.2250000005706,-83682.37,-84567.59500000057,86540.0,0.4283782182144716
2025-12-16 06:31:55+00:00,-776.023783123962,0.0,-776.023783123962,-83682.37,-84458.39378312396,86767.5,0.4301710949093414
2025-12-16 06:57:35+00:00,-701.2265283148054,0.0,-701.2265283148054,-83682.37,-84383.5965283148,86891.25,0.42984300443950574
2025-12-16 07:22:25+00:00,-898.3803125005988,0.0,-898.3803125005988,-83682.37,-84580.75031250059,86526.25,0.42907138703078457
2025-12-16 07:48:25+00:00,-1044.1356250016406,0.0,-1044.1356250016406,-83682.37,-84726.50562500164,86306.25,0.43074502940938164
2025-12-16 08:12:25+00:00,-924.7943750005625,0.0,-924.7943750005625,-83682.37,-84607.16437500056,86521.25,0.43121421930946924
2025-12-16 08:34:45+00:00,-881.7518750004647,0.0,-881.7518750004647,-83682.37,-84564.12187500046,86566.25,0.4298393598279317
2025-12-16 08:59:00+00:00,-860.2306250004231,0.0,-860.2306250004231,-83682.37,-84542.60062500041,86588.75,0.42919434244436294
2025-12-16 09:47:55+00:00,-831.8250000002781,0.0,-831.8250000002781,-83682.37,-84514.19500000027,86663.75,0.43056295339168554
2025-12-16 10:12:35+00:00,-797.1700000002356,0.0,-797.1700000002356,-83682.37,-84479.54000000023,86700.0,0.42947038305233515
2025-12-16 10:38:35+00:00,-715.1107709329708,0.0,-715.1107709329708,-83682.37,-84397.48077093296,86831.25,0.42891487330946587
2025-12-16 11:01:25+00:00,-434.2461202928798,0.0,-434.2461202928798,-83682.37,-84116.61612029288,87353.75,0.4298266996799261
2025-12-16 11:23:25+00:00,-417.9745765892776,0.0,-417.9745765892776,-83682.37,-84100.34457658927,87393.75,0.43036631103114475
2025-12-16 11:48:15+00:00,-400.5324058037413,0.0,-400.5324058037413,-83682.37,-84082.90240580373,87435.0,0.4308706427541632
2025-12-16 12:12:45+00:00,-250.09246449065267,0.0,-250.09246449065267,-83682.37,-83932.46246449064,87685.0,0.42973641380233824
2025-12-16 12:36:05+00:00,-354.99993508444186,0.0,-354.99993508444186,-83682.37,-84037.36993508444,87528.75,0.43148603603174507
2025-12-16 12:59:35+00:00,-320.4899422993085,0.0,-320.4899422993085,-83682.37,-84002.8599422993,87565.0,0.4303449854527015
2025-12-16 13:22:05+00:00,-226.3049675542252,0.0,-226.3049675542252,-83682.37,-83908.67496755422,87710.0,0.42912091944520686
2025-12-16 13:43:05+00:00,-410.9299220383591,0.0,-410.9299220383591,-83682.37,-84093.29992203835,87470.0,0.4336841703557379
2025-12-16 14:04:05+00:00,-853.335000000302,0.0,-853.335000000302,-83682.37,-84535.7050000003,86641.25,0.4321476911915855
2025-12-16 14:24:55+00:00,-484.7273161519306,0.0,-484.7273161519306,-83682.37,-84167.09731615192,87255.0,0.43018517991986605
2025-12-16 14:44:45+00:00,-371.65993162546965,0.0,-371.65993162546965,-83682.37,-84054.02993162547,87511.25,0.4325055928424494
2025-12-16 15:04:55+00:00,-405.2949049336721,0.0,-405.2949049336721,-83682.37,-84087.66490493367,87430.0,0.4316958838998755
2025-12-16 15:25:45+00:00,-387.01021259087884,0.0,-387.01021259087884,-83682.37,-84069.38021259087,87426.25,0.430087619988525
2025-12-16 15:46:55+00:00,-107.28123811964633,0.0,-107.28123811964633,-83682.37,-83789.65123811964,87927.5,0.4293883747856747
2025-12-16 16:07:15+00:00,32.47875241258862,0.0,32.47875241258862,-83682.37,-83649.89124758741,88213.75,0.43037307326772606
2025-12-16 16:28:55+00:00,36.69500115679239,0.0,36.69500115679239,-83682.37,-83645.6749988432,88311.25,0.43423709348445405
2025-12-16 16:51:05+00:00,-42.941871949090455,0.0,-42.941871949090455,-83682.37,-83725.31187194909,88157.5,0.434264284376677
2025-12-16 17:13:05+00:00,-37.50999651314214,0.0,-37.50999651314214,-83682.37,-83719.87999651313,88140.0,0.43314772041279903
2025-12-16 17:35:35+00:00,-170.2449882234696,0.0,-170.2449882234696,-83682.37,-83852.61498822346,87907.5,0.4340345967155812
2025-12-16 17:57:05+00:00,-349.5193186883671,0.0,-349.5193186883671,-83682.37,-84031.88931868837,87557.5,0.43339776553244885
2025-12-16 18:19:05+00:00,-224.3465406045043,0.0,-224.3465406045043,-83682.37,-83906.7165406045,87781.25,0.43309427172062814
2025-12-16 18:41:05+00:00,-3.328747921322247,0.0,-3.328747921322247,-83682.37,-83685.69874792131,88222.5,0.43417917510964305
2025-12-16 19:03:45+00:00,-100.80843001220364,0.0,-100.80843001220364,-83682.37,-83783.1784300122,88003.75,0.4328273081959358
2025-12-16 19:26:25+00:00,-213.0999762346737,0.0,-213.0999762346737,-83682.37,-83895.46997623467,87770.0,0.4319028431236119
2025-12-16 19:49:25+00:00,-64.55749267300871,0.0,-64.55749267300871,-83682.37,-83746.927492673,88018.75,0.4306651292638975
2025-12-16 20:12:05+00:00,-145.3012361312767,0.0,-145.3012361312767,-83682.37,-83827.67123613127,87887.5,0.4316470409879355
